ID,album,year,tracknum,title,writers,length,lengthS,lyrics
69,The Alchemy Index Earth,2008,4,The Lion And The Wolf,Dustin Kensrue,2M 42S,162S,"The lion's outside of your door <br> The wolf's in your bed <br> The lion's claws are sharpened for war <br> The wolf's teeth are red <br> And what a monstrous sight he makes, <br> Mocking man's best friend <br> When both the wolf and lion crave <br> The same thing in the end <br> The lion's outside of your door <br> The wolf's in your bed <br> The wolf, he howls <br> The lion does roar <br> The wolf lets him in <br> The lion runs in through the door <br> The real fun begins <br> As they both rush upon you and <br> Rip open your flesh <br> The lion eats his fill and then <br> The wolf cleans up the mess <br> The lion's outside of your door <br> The wolf's in your bed"
70,The Alchemy Index Earth,2008,5,Come All You Weary,Dustin Kensrue,4M 8S,248S,"Come all you weary with your heavy loads <br> Lay down your burdens find rest for your souls <br> Cause my yoke is easy and my burden is kind <br> I’ll take yours upon me and you can take mine <br> Come all you weary move through the earth <br> You've been spurned at fine restaurants and kicked out of church <br> Got a couple of loaves sit down at my feet <br> Lend me your ears and we'll break bread and eat <br> Come all you weary <br> Come gather round near me <br> Find rest for your souls <br> Come all you weary, you cripples you lame <br> I’ll help you along you can lay down your canes <br> We’ve got a long way to go but we’ll travel as friends <br> The lights growing bright further on further in <br> Come all you weary <br> Come gather round near me <br> Find rest for your souls

Rest for your souls

Come all you weary
Come gather round near me
Find rest for your souls

Rest for your souls"
71,The Alchemy Index Earth,2008,6,Child Of Dust,Dustin Kensrue,3M 9S,189S,"Dear prodigal you are my son and I <br> Supplied you not your spirit, but your shape. <br> All Eden's wealth arrayed before your eyes; <br> I fathomed not you wanted to escape. <br> And though I only ever gave you love, <br> Like every child you've chosen to rebel. <br> Uprooted flow'rs and filled the holes with blood; <br> Ask not for whom they toll, the solemn bells. <br> A child of dust, to mother now return; <br> For every seed must die before it grows. <br> And though above the world may toil and turn, <br> No prying spades will find you here below. <br> Now safe beneath their wisdom and their feet <br> Here I will teach you truly how to sleep."
72,Beggars,2009,1,All The World Is Mad,Dustin Kensrue,3M 59S,239S,"We are saints made of plaster, our laughter is canned <br> We are demons that hide in the mirror <br> But the blood on our hands <br> Paints a picture exceedingly clear <br> We are brimming with cumbersome, murderous greed <br> And malevolence deep and profound. <br> We do unspeakable deeds <br> Does our wickedness know any bounds? <br> Something’s gone terribly wrong <br> With everyone <br> All the world is mad <br> Darkness brings terrible things <br> The sun is gone <br> What vanity! Our sad, wretched fires <br> We can’t medicate man to perfection again <br> We can’t legislate peace in our hearts <br> We can’t educate sin from our souls <br> It’s been there from the start <br> But the blind lead the blind into bottomless pits <br> 
Still we smile and deny that we’re cursed <br> But of all our iniquities <br> Ignorance may be the worst <br> Something’s gone terribly wrong <br> With everyone <br> All the world is mad <br> Darkness brings terrible things <br> The sun is gone <br> What vanity! Our sad, wretched fires

Oh little light we have!
It only serves to show
The snares and seeds of wrath
We have already sewn on every path

Something’s gone terribly wrong
With everyone
All the world is mad
Darkness brings terrible things
The sun is gone
What vanity! Our sad wretched fires. "
73,Beggars,2009,2,The Weight,Dustin Kensrue,5M 0S,300S,"There’s many who’ll tell you they’ll give you their love, <br>  But when they say ""give"" they mean ""take"". <br> They hang ‘round just like vultures 'til push comes to shove <br> And take flight when the earth starts to shake. <br> Someone may say that they’ll always be true <br> Then slip out the door ‘fore the dawn, <br> But I won’t leave you hanging on. <br> Another may stay 'til they find someone new <br> Then before you know they’ll be gone, <br> But I won’t leave you hanging on. <br> No, I won’t won't be that someone. <br> And come what may, I won’t abandon you or leave you behind, <br> Because love is a loyalty sworn, not a burning for a moment. <br> Come what may, I will be standing right here by your side, <br> I won’t run away, though the storm’s getting worse and there’s no end in sight. <br> Some talk of destiny, others of fate, <br> But soon they’ll be saying goodbye, <br> But I won’t leave you high and dry. <br> 'Cause a ring don’t mean nothing if you can’t haul the weight <br> And some of them won’t even try, <br> But I won’t leave you high and dry. <br> I won’t leave you wondering why. <br> And come what may, I won’t abandon you or leave you behind, <br> Because love is a loyalty sworn, not a burning for a moment. <br> Come what may, I will be standing right here by your side, <br> I won’t run away, though the storm’s getting worse and there’s no end in sight. <br> And storms will surely come, <br> But true love is a choice you must make and you are the one. <br> That I have set my heart to choose <br> As long as I live, I swear I’ll see this through. <br> Come what may, I won’t abandon you or leave you behind, <br> Because love is a loyalty sworn, not a burning for a moment. <br> Come what may, I will be standing right here by your side, <br> I won’t run away, though the storm’s getting worse and I see no end. <br> Come what may, I won’t abandon you or leave you behind, <br> Because love is a loyalty sworn, not a burning for a moment. <br> Come what may, I will be standing right here by your side, <br> I won’t run away, though the storm’s getting worse and there’s no end in sight."
74,Beggars,2009,3,Circles,Dustin Kensrue,4M 19S,259S,"We talk too much; We talk in circles <br> Till we’re all spinning round, <br> Reaching for rings on this merry-go-round. <br> The scenery spins; We call it progress, <br> But I’ve seen this all before; <br> When all’s said and done, we’ll wake up on the floor. <br> We set sail with no fixed star in sight. <br> We drive by braille and candlelight. <br> We’re building towers with no foundations, <br> Just stacking stone on stone. <br> Whatever it takes - mix our mortar with bones. <br> But true progress means matching the world to <br> The vision in our heads, <br> But we always change the vision instead. <br> We set sail with no fixed star in sight. <br> We drive by braille and candlelight."
75,Beggars,2009,4,Doublespeak,Dustin Kensrue,4M 51S,291S,"I drug my heart with doublespeak, <br> All my misgivings disappear. <br> It helps to keep my conscience clean. <br> (The ends will justify the means,) <br> But still I’m always careful what I hear. <br> I don’t wanna know who really pulls the strings, <br> Just as long as it’s not you or me. <br> There’s a jackboot toe tap keeping time, <br> while the children dance and play. <br> Honey, if you think you’ve seen a crime, <br> you just look the other way. <br> I slowly carve my soul away. <br> Piece by piece I sacrifice. <br> To comfort and peace of mind <br> (I keep my toes on the party line.) <br> There’s nothing wrong dear, don’t think twice. <br> I don’t wanna know who really pulls the strings, <br> Just as long as it’s not you or me. <br> There’s a jackboot toe tap keeping time, <br> while the children dance and play. <br> Honey, if you think you’ve seen a crime, <br> won't you look the other way. <br> There’s a jackboot toe tap keeping time, <br> while the children dance and play. <br> Honey, if you think you’ve seen a crime, <br> won't you look the other, look the other way. <br> here’s a jackboot toe tap keeping time, <br> while the children dance and play. <br> Honey, if you think you’ve seen a crime, <br> won't you look the other way. <br> There’s a jackboot toe tap keeping time, <br> while the children dance and play. <br> Honey, if you think you’ve seen a crime, <br> won't you look the other way. <br> I drug my heart with doublespeak, <br> All my misgivings disappear. <br> It helps to keep my conscience clean. <br> (The ends will justify the means,) <br> But still I’m always careful what I hear."
76,Beggars,2009,5,In Exile,Dustin Kensrue,3M 53S,233S,"I am an exile - a sojourner; A citizen of some other place. <br> All I’ve seen is just a glimmer in a shadowy mirror, <br> But I know one day I’ll see face to face. <br> I am a nomad - a wanderer; I have nowhere to lay my head down. <br> There’s no point in putting roots too deep when I’m moving on. <br> I’m not settling for this unsettling town. <br> My heart is filled with songs of forever - <br> Of a city that endures, where all is made new. <br> I know I don’t belong here; I’ll never <br> Call this place my home, I’m just passing through. <br> I am a pilgrim - a voyager; I won’t rest until my lips touch the shore - <br> Of the land that I’ve been longing for as long as I’ve lived, <br> Where there’ll be no pain or tears anymore. <br> My heart is filled with songs of forever - <br> Of a city that endures, where all is made new. <br> I know I don’t belong here; I’ll never <br> Call this place my home, I’m just passing through."
77,Beggars,2009,6,At The Last,Dustin Kensrue,4M 5S,245S,"It’s a shame that some must go without, <br> But I was no fool to think it might be my problem. <br> Needy hands were reaching out; <br> I kept my spare change and my pride in a tight fist. <br> And now at the last, everything is changed in this pale light <br> That death has cast on all I’ve done - on all I've done. <br> I’m a good man on the whole; <br> Who could blame me for looking out for number one? <br> I never killed, I never stole; <br> A small indulgence now and then, so what of it? <br> I’m a good man. <br> I’m a good man. <br> Am I a good man? <br> I thought I was, <br> But the rewards of this life now count  for naught. <br> My body: soon buried and left to rot. <br> The time’s gone, how quickly it all has passed. <br> My God, now I see how I’ve squandered each and every breath. <br> Now at the last, everything is changed in this pale light; <br> That death has cast on all I’ve done. <br> Now at the last, everything is changed in this pale light; <br> And looking back I am undone - I am undone."
78,Beggars,2009,7,Wood And Wire,Dustin Kensrue,4M 10S,250S,"14 years behind these bars, <br> In 12-foot square of cold cement. <br> I’ve lost nearly everything, <br> For a crime of which I’m innocent. <br> But all my suffering’s a light and momentary pain, <br> While the weight of an endless glory still remains to me. <br> A dead man walking down the hall, <br> To meet a mess of wood and wire. <br> They lead me where men fear to tread- <br> But towards the thing I most desire. <br> For all my suffering’s a light and momentary pain, <br> While the weight of an endless glory still remains. <br> Throw the switch son; I know you ain’t got a choice. <br> The dawn is coming; all is well, I will rejoice."
79,Beggars,2009,8,Talking Through Glass We Move Like Swing Sets,Eddie Breckenridge,4M 30S,270S,"It never turns out right with me and you, <br> No matter how I try to see it through. <br> Get up at sunset and start again, <br> But it feels like we’re trying to catch the wind. <br> You are a door to which I’ve lost the keys; <br> We are a puzzle with a missing piece. <br> We gather ourselves and we start again; <br> It feels like we’re trying to catch the wind. <br> And I can’t carry on living like this, <br> talking through glass. <br> You know that I can’t be the one to  banish the mist, <br> and ghosts in your past. <br> You’re so cold to touch-you and your heart, <br> And when I care too much, we fall apart. <br> We gather ourselves and we start again; <br> It feels like we’re trying to catch the wind. <br> And I can’t carry on living like this, <br> talking through glass. <br> You know that I can’t be the one to banish the mist, <br> and ghosts in your past. <br> And so I’m left without a choice but walking out, <br> Though I’ve no hope I’ll ever find someone like you. <br> My head screaming I have to leave you, <br> but my heart is filled with doubts; <br> I don’t I wanna leave, but tell me what else can I do? <br> What can I do? <br> (We move like swing sets.) "
80,Beggars,2009,9,The Great Exchange,Dustin Kensrue,3M 33S,213S,"I crewed on a fair golden ship that <br> Went down at the dawn of the world. <br> We mutinied and sentenced our captain to die, <br> ‘Fore our sails had barely unfurled. <br> We sank shortly after our riot; <br> Wanton flame and our powder kegs met. <br> While I swam for my life there came voices aloft -
Joyful, unearthly, and dread - <br> Singing of a violent, tireless mystery: <br> That one would give his life to save his enemy. <br> Too bone-tired to keep my arms moving, <br> To swim or even grasp after straws. <br> The undertow drew me down into its cold <br> And infinite indigo jaws. <br> I heard singing of a violent, tireless mystery: <br> That one would give his life to save his enemy. <br> I thought I must be dead or dreaming, <br> When my captain - still battered, betrayed - <br> Pulled me up, laid me over the beam he’d clung to, <br> Breathed his last, and sank under the waves. <br> Your body is a bridge across an endless sea. <br> Your body is a bridge across an endless sea."
81,Beggars,2009,10,Beggars,Dustin Kensrue,5M 24S,324S,"All you great men of power, you who boast of your feats - <br> Politicians and entrepreneurs. <br> Can you safeguard your breath in the night while you sleep? <br> Keep your heart beating steady and sure? <br> As you lie in your bed, does the thought haunt your head <br> That you’re really, rather small? <br> If there’s one thing I know in this life: we are beggars all. <br> All you champions of science and rulers of men, <br> Can you summon the sun from its sleep? <br> Does the earth seek your counsel on how fast to spin? <br> Can you shut up the gates of the deep? <br> Don’t you know that all things hang, as if by a string, <br> O’er the darkness - poised to fall? <br> If there’s one thing I know in this life: we are beggars all. <br> All you big shots tha t swagger and stride with conceit, <br> Did you devise how your frame would be formed? <br> If you’d be raised in a palace, or live out in the streets, <br> Did you choose the place or the hour you’d be born? <br> Tell me what can you claim? Not a thing - not your name! <br> Tell me if you can recall just one thing, <br> That’s not a gift in this life? <br> Can you hear what’s been said? <br> Can you see now that everything’s grace after all? <br> If there’s one thing I know in this life: we are beggars all. "
82,Major Minor,2011,1,Yellow Belly,Dustin Kensrue,3M 58S,238S,"You were built for blessing but you only make them bleed, but you don’t care, you don’t care. <br> And bruises are but shadows of the blackness that you breathe but you don’t care, you don’t care. <br> The light that's left inside their eyes is darkened day by day but you don’t care, you don’t care. <br> The presence pulls the color from the world til all is grey <br> but you don’t care, you don’t, you don’t, you don’t. <br> You're less than half a man, yellow belly and crimson hands <br> You will one day reap your reckoning, maybe then you’ll understand. <br> Your hands are made to comfort but they only conjure fear <br> But you don’t care, you don’t care. <br> She’s in the closet praying Lord please get me out of here <br> you don’t care, you don’t you don’t you don’t. <br> You're less than half a man, yellow belly and crimson hands <br> You will one day reap your reckoning, maybe then you’ll understand. <br> What mercy have they known, from you, from you. <br> To ask that I be shown, to you, to you."
83,Major Minor,2011,2,Promises,Dustin Kensrue,4M 9S,249S,"O, we promise pretty things <br> And we pledge with diamond rings <br> We profess undying love <br> But does that word hold any weight <br> When we reserve the right to break <br> Any vow that draws our blood <br> Our word is so faint and feeble <br> Broken by the slightest breeze or breath <br> Our hearts are they're so deceitful <br> Sick and filled with lies <br> That lead to death <br> We are cowards and thieves <br> Will we never turn to grieve <br> The damage done <br> Never see <br> Never quake with rage <br> At what we have become? <br> What we have become <br> Yeah we get down on one knee <br> O, we play at chivalry <br> But we do not count the cost <br> We say <br> ""On Me you can depend"" <br> And <br> ""I will be there 'till the end"" <br> Though we will not bear the cross <br> Our word is so faint and feeble <br> Broken by the slightest breeze or breath <br> Our hearts are they're so deceitful <br> Sick and filled with lies <br> That lead to death <br> We are cowards and thieves <br> Will we never turn to grieve <br> The damage done <br> Never see <br> Never quake with rage <br> At what we have become? <br> What we have become <br> Cowards and thieves <br> Will we never turn to grieve <br> The damage done <br> Never see <br> Never quake with rage <br> At what we have become? <br> What we have become <br> Cowards and thieves <br> Will we never turn to grieve <br> The damage done <br> Never see <br> Never quake with rage <br> At what we have become? <br> What we have become"
84,Major Minor,2011,3,Blinded,Dustin Kensrue,4M 24S,264S,"I was always one of the righteous <br> Never lived outside of the lines <br> Kept a close watch on the white wash <br> Disguising the dead bones inside <br> I was always one the good ones <br> Keeping tabs on everyone else <br> Sure that I was <br> One of the chosen <br> But I was a child of hell <br> But you buried me in the bright light <br> Yeah, you held my eyes to the sun till I could see that, <br> That I was worse than I ever feared I could be <br> But somehow, I was loved more than I ever dared to believe <br> Because of you <br> I was always one of the blameless <br> Or at least that's what I believed
I never thought I could have been blinded <br> Until I could no longer see <br> But you buried me in the bright light <br> Yeah, you held my eyes to the sun till I could see, <br> That I was worse than I ever feared I could be <br> But somehow, I was loved more than I ever dared to believe <br> Because of you"
85,Major Minor,2011,4,Cataracts,Dustin Kensrue,4M 3S,243S,"Cut these thorns and kick these stones, and keep those birds at bay. <br> Plant deep and dark, and help my heart receive the words you say. <br> The words you say are somehow lost on me, they die on deafened ears; when you open - <br> Up your mount to speak I hear but I can't hear the words you say. <br> Pin me down, and take away this heart of stone, wind and sound, awake my old dry bones. <br> Help my heart perceive the light of day. <br> I stumble through a darkened vale, with a veil - <br> Cast over me and cataracts, all is black. <br> O, I see but I can't see the light of day. <br> I'll fight or run to keep from going under the knife; don't let me slip away. <br> 'Cause though the blade is sharp, I know you're saving my life; don't let me slip away. "
86,Major Minor,2011,5,Call It In The Air,Dustin Kensrue,4M 37S,277S,"A coin tossed into the air will come down, <br> It will come down somewhere <br> Your life is a coin in the air <br> It will come down, it will come down  somewhere <br> Every coin does ring <br> Every coin will fall <br> Stop your wavering <br> Now's the time so call it out <br> A coin in the air, it will come down <br> It will come down somewhere <br> Every coin does ring <br> Every coin will fall <br> Stop your wavering <br> Now's the time so call it in the air <br> You have to choose <br> And what you stand to lose you've been putting up all of your life <br> Call it in my hand <br> Only one way to see what the outcome will be <br> Call it out before we lose the light <br> No more stalling, no delay <br> You must call it out by light of day <br> Every coin does ring <br> Every coin will fall <br> Stop your wavering <br> Now's the time so call it in the air <br> You have to choose <br> And what you stand to lose you've been putting up all of your life <br> Call it in my hand <br> Only one way to see what the outcome will be <br> Call it out before we lose the light <br> So heads or tails? <br> There's nothing for it so put an end to your sidestepping <br> Is it heads or tails? <br> You can't ignore it <br> You stand to win or lose everything <br> Heads or tails? <br> There's nothing for it so put an end to your sidestepping <br> Heads or tails? <br> You can't ignore it <br> You stand to win or lose everything"
87,Major Minor,2011,6,Treading Paper,Dustin Kensrue,4M 41S,281S,"All my life, I've been treading paper in the space between the words. <br> And there implied is that I'm but another body for the birds, <br> carrion, absurd and accidental atoms - beating air, <br> carrying on; unwitting orphan of an unyielding despair. <br> But linger on, just for a moment, until we can ascertain if something's wrong with me - <br> Or the assumptions of these self-indicted brains. <br> Because I contend that all of this is more than just a meaningless charade, <br> That each and every moment is a bottle with a message hid away. <br> If anything means anything, <br> There must be something meant for us to be, <br> a song that we were made to sing. <br> There must be so much more than we can see. <br> But all our lives, we've been treading paper in the space between the words. <br> And there implied's the thought that we are barely more than bodies for the birds, carrion. <br> They say that we're just accidental atoms beating air, carrying on and on, <br> Unwitting orphans of an unyielding despair. <br> But our hearts tell a different story; <br> our hands feel a different pulse. <br> Something fathomless, deeper than our pride can dive; <br> numinous, higher than - our hearts can rise, <br> transcendent, further than our thoughts can reach; <br> immanent, closer than the air we breathe."
88,Major Minor,2011,7,Blur,Dustin Kensrue,3M 14S,194S,"The shutter opens but never closes, <br> I am lost, waylaid, in light trails. <br> Endless moments, overlaid and burned across <br> A melee of scattered braille. <br> This image is a night-terror transforming <br> Without the hope of morning. <br> My nemesis, I feel it coming for me, and it means to destroy me. <br> Why does this keep happening? <br> I try to close my eyes but I can't blink <br> And the world keeps moving on, black and white blur into one. <br> Hieroglyphic, indecipherable, opaque; the meaning escapes me. <br> Dry and lidless, are my eyes. <br> Asleep, awake - reading the slurred debris. <br> This image is a night-terror transforming <br> Without the hope of morning. <br> My nemesis, I feel it coming for me, and it means to destroy me. <br> 
Why does this keep happening? <br> I try to close my eyes but I can't blink <br> And the world keeps moving on, black and white blur into... <br> Why does this keep happening? <br> I try to close my eyes but I can't blink <br> And the world keeps moving on, black and white blur into one."
89,Major Minor,2011,8,Words In The Water,Dustin Kensrue,6M 26S,386S,"Standing knee-deep in cold water, swiftly moving <br> Somehow I knew I lost something <br> Waiting waist-deep I saw a book there, in the river <br> Waiting for me to find it there <br> I tried to read it, neck deep, treading water <br> The tide pulled me out to sea <br> Then with water in my eyes <br> The words began to rise from their place <br> They were beautiful and dread <br> I reached for them and fed on each phrase <br> They were honey on my lips <br> Then a bitter twist in my side <br> I knew they'd lay me in my grave <br> ""Is there no one who could save me? "" I cried <br> Sinking down deep through cold water and heavy silence <br> Shadows stirring in the gloom <br> What things lay sleeping down deep in the darkness? <br> Woke then to find me in my tomb <br> Then with water in my eyes <br> The words began to rise from their place <br> They were beautiful and dread <br> I reached for them and fed on each phrase <br> They were honey on my lips <br> Then a bitter twist in my side <br> I knew they'd lay me in my grave <br> ""Is there no one who could save me? "" I cried <br> And when I lost all hope to look <br> Someone took that heavy book from my hands <br> All it's weight they set aside <br> After they had satisfied it's demands <br> I felt white and black reverse <br> And the lifting of a curse from my heart <br> Then like one receiving sight <br> I beheld a brilliant light in the dark"
90,Major Minor,2011,9,Listen Through Me,Dustin Kensrue,4M 37S,277S,"See these ragged shoes? <br> The soles are worn straight through <br> Well I proclaimed <br> The king has sang the blues <br> If you've got better news
Then make it play <br> He laid aside his crown <br> All our crimes he carried <br> Was lifted from the ground <br> With our burdens buried <br> Listen to me <br> Though I speak of sober things <br> Listen through me <br> Though we're men of lips unclean <br> I speak truly <br> What you only think you've heard everything <br> Everything <br> Everything hangs on a word <br> Sparing no expense <br> He made recompense <br> For all the earth <br> The story's an offense <br> So get down from that fence <br> And bless or curse <br> He laid aside his crown <br> All our crimes he carried <br> Was lifted from the ground <br> With our burdens buried <br> The shadows all had flown <br> In the light diminished <br> He emptied out his lungs <br> Crying it is finished <br> Listen to me <br> Though I speak of sober things <br> Listen through me <br> Though we're men of lips unclean <br> I speak truly <br> What you only think you've heard everything <br> Everything <br> Everything hangs on a word <br> A word... <br> The shadows all had flown <br> In the light diminished <br> He emptied out his lungs <br> Crying it is finished <br> Listen to me <br> Though I speak of sober things <br> Listen through me <br> Though we're men of lips unclean <br> I speak truly <br> What you only think you've heard everything <br> Everything <br> Everything hangs on a word"
91,Major Minor,2011,10,Anthology,Dustin Kensrue,4M 24S,264S,"Our lives built on tin cans and string <br> But the cornerstone laid is a wondrous and beautiful thing <br> Sure in the ground <br> While the North wind is taking its toll <br> You have helped me to find my way back and to anchor my soul <br> Safe in the sound <br> Oh you know me <br> Oh and I know you <br> And I know that <br> We can see this through <br> I'm brack, baring my bones <br> Said if we heard the howling <br> I'd run out to face it alone <br> To meet it half way <br> But I've still got badges to earn <br> So keep sifting my soul <br> Cause I think that I'm starting to learn <br> To love you that way <br> Oh you know me <br> Oh and I know you <br> And I know that <br> We can see this through <br> It's true that you could snap my neck <br> I trust you'll save my life instead <br> Cause our love is a loyalty sworn <br> If we hold to our hope <br> Then I know we can weather the storm <br> Whatever they say <br> Come what may <br> Oh you know me <br> Oh and I know you <br> And I know that <br> We can see this through"
92,Major Minor,2011,11,Disarmed,Dustin Kensrue,4M 49S,289S,"We were sons of insurrection, doomed to face the dark alone. <br> 'Till vicarious perfection, dearly won, was made our own. <br> So where's your landslide, where's your victory? <br> Tell me now, where's your sting? <br> Unassailable you waited, the great enemy of man, <br> 'till your awful jaws were sated, and we were ransomed from your hand. <br> Now that you have been disarmed, <br> We will cross over unharmed. "
93,To Be Everywhere And To Be Nowhere,2016,1,Hurricane,Dustin Kensrue,4M 44S,284S,"Those flowers I found you <br> Were the truest red that I'd ever seen <br> Till you cut yourself on their thorns <br> You winced and I kissed you, <br> And I kissed your palms and we both laughed <br> So unaware of the gathering storm <br> It's gonna rain, it's gonna rain, till the levee breaks <br> A tidal wave of fear and pain carries us away <br> Another fight into the night until nothing else remains <br> How do we find harbor from the hurricane? <br> Now sheltered in shadows, <br> The quiet song of your breath stirs the dark <br> Your skin like a rose 'neath my hand <br> And I can't keep from wondering <br> Why nothing good could ever stay <br> Why faith feels like a fistful of sand <br> It's gonna rain, it's gonna rain, till the levee breaks <br> A tidal wave of fear and pain carries us away <br> Another fight into the night until nothing else remains <br> How do we find harbor from the hurricane?"
94,To Be Everywhere And To Be Nowhere,2016,2,Blood On The Sand,Dustin Kensrue,2M 50S,170S,"We wave our flags, we swallow fear like medicine <br> We kiss the hands of profiteers and their congressmen <br> But I've seen too much (of this fear and hate) <br> Yeah I've had enough (and I'm not afraid) <br> To raise a shout, to make it clear — this has to end <br> There's blood on the sand, there's blood in the street <br> And there's a gun in my hand, or there might as well be <br> And I'm sick of it, I'm so sick of it <br> We panic at the sight of different colored skin <br> We've got a plan to justify each mess we're in <br> But I've seen too much (of this fear and hate) <br> I've had enough (and I'm not afraid) <br> To take a stand, to make it right — this has to end <br> There's blood on the sand, there's blood in the street <br> And there's a gun in my hand, or there might as well be <br> And I'm sick of it, I'm so sick of it <br> Fear will kill your mind and steal your love as sure as anything <br> Fear will rob you blind and make you numb to others' suffering <br> And I've felt its touch too many times and I've had enough <br> I've had enough! <br> There's blood on the sand, there's blood in the street <br> And there's a gun in your hand, or there might as well be <br> Are you sick of it? I'm so sick of it <br> There's blood on the sand, there's blood in the street <br> And there's a gun in your hand, or there might as well be <br> Aren't you sick of it? I'm just sick of this <br> Cause I'm sick, I'm sick <br> I'm sick, I'm so sick of this"
95,To Be Everywhere And To Be Nowhere,2016,3,The Window,Dustin Kensrue,3M 34S,214S,"All that I've known's within the walls of this room where there's a window <br> Roughly boarded up <br> It's true the gaps are patched but even through the tiny cracks, I feel a wind blow <br> I see a light of strangest hue <br> There's nothing I can say <br> There's no way I can prove <br> That there's a place <br> Beyond this room <br> But still, there's something in the way <br> The light comes shining through <br> And in the way <br> The curtains move <br> 
Late in the night I lay awake <br> With my eyes fixed on the window <br> I strained my ears until I thought <br> That I might have heard a song <br> Somehow hiding in the soft glow <br> Old as time and ever new <br> There's nothing I can say <br> There's no way I can prove <br> That there's a place <br> Beyond this room <br> But still, there's something in the way <br> The light comes shining through <br> And in the way <br> The curtains move <br>
I found a note scratched in the wall <br> In a pained and earnest scrawl <br> The hand I recognized was somehow mine <br> I read each line with dread <br> There's no wind and there's no light <br> There's no song you hear at night <br> There's nowhere to hide, be terrified <br> It's all inside your head <br> 
But still, there's something in the way <br> The light comes shining through <br> And in the way <br> In the way the curtains move"
96,To Be Everywhere And To Be Nowhere,2016,4,Wake Up,Dustin Kensrue,4M 7S,247S,"Just a little sleep, a little slumber <br> Little folding of the hands to rest <br> That's what we tell ourselves <br> But we know we're gonna just <br> Lay here till the sun's gone west <br> But there are foxes in the garden <br> And there's an armed man at the door <br> When the wind is right, and the skies show favor <br> When the heat has died and the day is cool <br> We tell ourselves that we'll do it later <br> But we know full well that that ain't true <br> And now there's wolves at every window <br> The mob is breaking down the door <br> Come on, we gotta wake up <br> We gotta wake up <br> We gotta wake up
I hear them coming back for more <br> Gotta wake up <br> Oh, we say we'll do it when things settle down, <br> we say we'll do it when this season's  through <br> We say we'll do it when we get around to it <br> But it's already overdue <br> And there are foxes in the garden <br> And there's an armed man at the door <br> Tomorrow's song is a siren singing, <br> Such a sweet and subtle lullaby <br> Tomorrow's song has got us clinging <br> To the promise of the by and by <br> And now there's wolves at every window <br> The mob is breaking down the door <br> Come on, we gotta wake up <br> We gotta wake up <br> We gotta wake up <br> I hear them coming back for more <br> Come on, we gotta wake up <br> We gotta wake up <br> We gotta wake up <br> Oh, I think they're gathering for war <br> We gotta wake up <br> We gotta wake up <br> We gotta wake up <br> We gotta wake up <br> I hear them coming back for more <br> Come on, we gotta wake up <br> We gotta wake up <br> We gotta wake up <br> Oh, I think they're gathering for war"
97,To Be Everywhere And To Be Nowhere,2016,5,The Long Defeat,Dustin Kensrue,4M 11S,251S,"The tyranny of deterioration <br> It worries me that it's all just a waste of time <br> Taking one step forward, two steps back <br> Still I believe there's a thread through the thorns <br> And I believe that somewhere it's warm <br> And I believe that it's ever bright beyond this black <br> So keep holding on to hope without assurance <br> Holding on to a memory of light <br> But will the morning come? For all I know <br> We’ll never see the sun, but together we’ll fight the long defeat <br> The suffering that I see all around <br> It's enough to keep me crashing down till I <br> I lie wrecked and reeling from these falls <br> Still I believe there's a word in the wire <br> And I believe there's a way through the fire <br> And I believe there's a joy that blooms beyond these walls <br> So keep holding on to hope without assurance <br> Holding on to a memory of light <br> But will the morning come? For all I know <br> We’ll never see the sun, but together we’ll fight the long defeat"
98,To Be Everywhere And To Be Nowhere,2016,6,Seneca,Dustin Kensrue,1M 0S,60S,
99,To Be Everywhere And To Be Nowhere,2016,7,Black Honey,Dustin Kensrue,3M 59S,239S,"I keep swinging my hand through a swarm of bees ‘cause I ... <br> I want honey on my table <br> I keep swinging my hand through a swarm of bees ‘cause I ... <br> I want honey on my table <br> But I never get it right <br> no I never get it right <br> I keep swinging my hand through a swarm of bees <br> I can’t understand why they’re stinging me <br> But I’ll do what I want, I’ll do what I please <br> I’ll do it again till I got what I need <br> I’ll rip and smash through the hornet’s nest <br> Don’t they understand I deserve the best <br> And I’ll do what I want, I’ll do what I please <br> I’ll do it again till I got what I need <br> I tried to stick this pin through a butterfly ‘cause I ... <br> I like all the pretty colors <br> But it just fell apart so I flung it in the fire <br> to burn with all the others <br> 
Cause I never get it right <br> No, I never get it right <br> I keep swinging my hand through a swarm of bees <br> I can’t understand why they’re stinging me <br> But I’ll do what I want, I’ll do what I please <br> I’ll do it again till I got what I need <br> I’ll rip and smash through the hornet’s nest <br> Don’t they understand I deserve the best <br> And I’ll do what I want, I’ll do what I please <br> I’ll do it again till I got what I need <br> And this time I’ll get it right <br> yeah this time I’ll get it right <br> It’s gonna be this time I’ll get it right <br> Oh God let it be this time I get it right <br> So I’m cutting that branch off the cherry tree <br> I’m singing this will be my victory then I... <br> I see them coming after me <br> And they’re following me across the sea <br> And now they’re stinging my friends and my family and I... <br> I don’t know why this is happening <br> But I’ll do what I want, I’ll do what I please <br> I’ll do it again till I got what I need <br> I keep swinging my hand through a swarm of bees ‘cause I ... <br> I want honey on my table"
