"","title","lyrics"
"83","""Child Of Dust""","

Dear prodigal you are my son and I
Supplied you not your spirit, but your shape.
All Eden's wealth arrayed before your eyes;
I fathomed not you wanted to escape.
And though I only ever gave you love,
Like every child you've chosen to rebel.
Uprooted flow'rs and filled the holes with blood;
Ask not for whom they toll, the solemn bells.
A child of dust, to mother now return;
For every seed must die before it grows.
And though above the world may toil and turn,
No prying spades will find you here below.
Now safe beneath their wisdom and their feet
Here I will teach you truly how to sleep.
"
"84","""All The World Is Mad""","

We are saints made of plaster, our laughter is canned
We are demons that hide in the mirror
But the blood on our hands
Paints a picture exceedingly clear
We are brimming with cumbersome, murderous greed
And malevolence deep and profound.
We do unspeakable deeds
Does our wickedness know any bounds?
Something’s gone terribly wrong
With everyone
All the world is mad
Darkness brings terrible things
The sun is gone
What vanity! Our sad, wretched fires
We can’t medicate man to perfection again
We can’t legislate peace in our hearts
We can’t educate sin from our souls
It’s been there from the start
But the blind lead the blind into bottomless pits
Still we smile and deny that we’re cursed
But of all our iniquities
Ignorance may be the worst
Something’s gone terribly wrong
With everyone
All the world is mad
Darkness brings terrible things
The sun is gone
What vanity! Our sad, wretched fires
Oh little light we have!
It only serves to show
The snares and seeds of wrath
We have already sewn on every path
Something’s gone terribly wrong
With everyone
All the world is mad
Darkness brings terrible things
The sun is gone
What vanity! Our sad wretched fires.
"
"85","""The Weight""","

There’s many who’ll tell you they’ll give you their love,
But when they say ""give"" they mean ""take"".
They hang ‘round just like vultures 'til push comes to shove
And take flight when the earth starts to shake.
Someone may say that they’ll always be true
Then slip out the door ‘fore the dawn,
But I won’t leave you hanging on.
Another may stay 'til they find someone new
Then before you know they’ll be gone,
But I won’t leave you hanging on.
No, I won’t won't be that someone.
And come what may, I won’t abandon you or leave you behind,
Because love is a loyalty sworn, not a burning for a moment.
Come what may, I will be standing right here by your side,
I won’t run away, though the storm’s getting worse and there’s no end in sight.
Some talk of destiny, others of fate,
But soon they’ll be saying goodbye,
But I won’t leave you high and dry.
'Cause a ring don’t mean nothing if you can’t haul the weight
And some of them won’t even try,
But I won’t leave you high and dry.
I won’t leave you wondering why.
And come what may, I won’t abandon you or leave you behind,
Because love is a loyalty sworn, not a burning for a moment.
Come what may, I will be standing right here by your side,
I won’t run away, though the storm’s getting worse and there’s no end in sight.
And storms will surely come,
But true love is a choice you must make and you are the one.
That I have set my heart to choose
As long as I live, I swear I’ll see this through.
Come what may, I won’t abandon you or leave you behind,
Because love is a loyalty sworn, not a burning for a moment.
Come what may, I will be standing right here by your side,
I won’t run away, though the storm’s getting worse and I see no end.
Come what may, I won’t abandon you or leave you behind,
Because love is a loyalty sworn, not a burning for a moment.
Come what may, I will be standing right here by your side,
I won’t run away, though the storm’s getting worse and there’s no end in sight.
"
"86","""Circles""","

We talk too much; We talk in circles
Till we’re all spinning round,
Reaching for rings on this merry-go-round.
The scenery spins; We call it progress,
But I’ve seen this all before;
When all’s said and done, we’ll wake up on the floor.
We set sail with no fixed star in sight.
We drive by braille and candlelight.
We’re building towers with no foundations,
Just stacking stone on stone.
Whatever it takes - mix our mortar with bones.
But true progress means matching the world to
The vision in our heads,
But we always change the vision instead.
We set sail with no fixed star in sight.
We drive by braille and candlelight.
"
"87","""Doublespeak""","

I drug my heart with doublespeak,
All my misgivings disappear.
It helps to keep my conscience clean.
(The ends will justify the means,)
But still I’m always careful what I hear.
I don’t wanna know who really pulls the strings,
Just as long as it’s not you or me.
There’s a jackboot toe tap keeping time, 
while the children dance and play.
Honey, if you think you’ve seen a crime, 
you just look the other way.
I slowly carve my soul away.
Piece by piece I sacrifice.
To comfort and peace of mind
(I keep my toes on the party line.)
There’s nothing wrong dear, don’t think twice.
I don’t wanna know who really pulls the strings,
Just as long as it’s not you or me.
There’s a jackboot toe tap keeping time, 
while the children dance and play.
Honey, if you think you’ve seen a crime, 
won't you look the other way.
There’s a jackboot toe tap keeping time, 
while the children dance and play.
Honey, if you think you’ve seen a crime, 
won't you look the other, look the other way.
There’s a jackboot toe tap keeping time, 
while the children dance and play.
Honey, if you think you’ve seen a crime, 
won't you look the other way.
There’s a jackboot toe tap keeping time, 
while the children dance and play.
Honey, if you think you’ve seen a crime, 
won't you look the other way.
I drug my heart with doublespeak,
All my misgivings disappear.
It helps to keep my conscience clean.
(The ends will justify the means,)
But still I’m always careful what I hear.
"
"88","""In Exile""","

I am an exile - a sojourner; A citizen of some other place.
All I’ve seen is just a glimmer in a shadowy mirror,
But I know one day I’ll see face to face.
I am a nomad - a wanderer; I have nowhere to lay my head down.
There’s no point in putting roots too deep when I’m moving on.
I’m not settling for this unsettling town.
My heart is filled with songs of forever -
Of a city that endures, where all is made new.
I know I don’t belong here; I’ll never
Call this place my home, I’m just passing through.
I am a pilgrim - a voyager; I won’t rest until my lips touch the shore -
Of the land that I’ve been longing for as long as I’ve lived,
Where there’ll be no pain or tears anymore.
My heart is filled with songs of forever -
Of a city that endures, where all is made new.
I know I don’t belong here; I’ll never
Call this place my home, I’m just passing through.
"
"89","""At The Last""","

It’s a shame that some must go without,
But I was no fool to think it might be my problem.
Needy hands were reaching out;
I kept my spare change and my pride in a tight fist.
And now at the last, everything is changed in this pale light
That death has cast on all I’ve done - on all I've done.
I’m a good man on the whole;
Who could blame me for looking out for number one?
I never killed, I never stole;
A small indulgence now and then, so what of it?
I’m a good man.
I’m a good man.
Am I a good man?
I thought I was,
But the rewards of this life now count for naught.
My body: soon buried and left to rot.
The time’s gone, how quickly it all has passed.
My God, now I see how I’ve squandered each and every breath.
Now at the last, everything is changed in this pale light;
That death has cast on all I’ve done.
Now at the last, everything is changed in this pale light;
And looking back I am undone - I am undone.
"
"90","""Wood & Wire""","

14 years behind these bars,
In 12-foot square of cold cement.
I’ve lost nearly everything,
For a crime of which I’m innocent.
But all my suffering’s a light and momentary pain,
While the weight of an endless glory still remains to me.
A dead man walking down the hall,
To meet a mess of wood and wire.
They lead me where men fear to tread-
But towards the thing I most desire.
For all my suffering’s a light and momentary pain,
While the weight of an endless glory still remains.
Throw the switch son; I know you ain’t got a choice.
The dawn is coming; all is well, I will rejoice.
"
"91","""Talking Through Glass""","

It never turns out right with me and you,
No matter how I try to see it through.
Get up at sunset and start again,
But it feels like we’re trying to catch the wind.
You are a door to which I’ve lost the keys;
We are a puzzle with a missing piece.
We gather ourselves and we start again;
It feels like we’re trying to catch the wind.
And I can’t carry on living like this, 
talking through glass.
You know that I can’t be the one to banish the mist, 
and ghosts in your past.
You’re so cold to touch-you and your heart,
And when I care too much, we fall apart.
We gather ourselves and we start again;
It feels like we’re trying to catch the wind.
And I can’t carry on living like this, 
talking through glass.
You know that I can’t be the one to banish the mist, 
and ghosts in your past.
And so I’m left without a choice but walking out,
Though I’ve no hope I’ll ever find someone like you.
My head screaming I have to leave you, 
but my heart is filled with doubts;
I don’t I wanna leave, but tell me what else can I do? 
What can I do? [x4]
(We move like swing sets.) [x4]
"
"92","""The Great Exchange""","

I crewed on a fair golden ship that
Went down at the dawn of the world.
We mutinied and sentenced our captain to die,
‘Fore our sails had barely unfurled.
We sank shortly after our riot;
Wanton flame and our powder kegs met.
While I swam for my life there came voices aloft -
Joyful, unearthly, and dread -
Singing of a violent, tireless mystery:
That one would give his life to save his enemy.
Too bone-tired to keep my arms moving,
To swim or even grasp after straws.
The undertow drew me down into its cold
And infinite indigo jaws.
I heard singing of a violent, tireless mystery:
That one would give his life to save his enemy.
I thought I must be dead or dreaming,
When my captain - still battered, betrayed -
Pulled me up, laid me over the beam he’d clung to,
Breathed his last, and sank under the waves. 
Your body is a bridge across an endless sea.
Your body is a bridge across an endless sea.
"
"93","""Beggars""","

All you great men of power, you who boast of your feats -
Politicians and entrepreneurs.
Can you safeguard your breath in the night while you sleep?
Keep your heart beating steady and sure? 
As you lie in your bed, does the thought haunt your head
That you’re really, rather small?
If there’s one thing I know in this life: we are beggars all.
All you champions of science and rulers of men,
Can you summon the sun from its sleep?
Does the earth seek your counsel on how fast to spin?
Can you shut up the gates of the deep?
Don’t you know that all things hang, as if by a string, 
O’er the darkness - poised to fall?
If there’s one thing I know in this life: we are beggars all.
All you big shots that swagger and stride with conceit,
Did you devise how your frame would be formed?
If you’d be raised in a palace, or live out in the streets,
Did you choose the place or the hour you’d be born?
Tell me what can you claim? Not a thing - not your name!
Tell me if you can recall just one thing,
That’s not a gift in this life?
Can you hear what’s been said?
Can you see now that everything’s grace after all?
If there’s one thing I know in this life: we are beggars all.
"
"94","""Answered""","

All that I have are questions;
So much is veiled in mystery.
You are yourself the answer-
The only answer that I need.
My brokenness (I must confess)
Darkens all my thoughts, and hides your hands.
But questions fade before your face,
And I'm contend that I may never understand.
All that I have are questions;
So much is veiled in mystery.
You are yourself the answer-
The only answer that I need.
Of what I spoke I did not know-
Of things too wonderful and high for me.
In ignorance I gave offense;
I had heard of you but now my eyes have seen. 
All that I have are questions;
So much is veiled in mystery.
You are yourself the answer-
The only answer that I need.
You're all I need
You're all I need
You're all I need
All I need
"
"95","""Red Telephone""","

I woke alone, in a mansion on a hill;
Across the room: a red telephone.
Mouth was dry, I felt I’d been asleep for years.
I turned and I discovered then the sum of all my fears.
What have I become?
(Someone tell me that I’m dreaming!)
What have I become?
(Someone wake me up!)
Through the glass, the clouds were dark and harbored rain;
The land below grey and vast.
And through the mist, I saw the fields were flush with graves,
And each headstone was etched with lies discrediting the brave.
Son, imitate death’s true face;
For who and what and why’d they have to die?
Someone wake me up!
"
"96","""Yellow Belly""","

You were built for blessing but you only make them bleed, but you don't care, you don't care
And bruises are but shadows of the blackness that you breathe but you don't care, you don't care
The light that's left inside their eyes is darkened day by day but you don't care, you don't care
The presence pulls the color from the world til all is gray
but you don't care, you don't, you don't, you don't
You're less than half a man, yellow belly and crimson hands
You will one day reap your reckoning, maybe then you'll understand
Your hands are made to comfort but they only conjure fear
But you don't care, you don't care
She's in the closet praying Lord please get me out of here
you don't care, you don't you don't you don't
You're less than half a man, yellow belly and crimson hands
You will one day reap your reckoning, maybe then you'll understand[x2]
What mercy have they known, from you, from you
To ask that it be shown, to you, to you[x2]
"
"97","""Promises""","

O, we promise pretty things
And we pledge with diamond rings
We profess undying love
But does that word hold any weight
When we reserve the right to break
Any vow that draws our blood
Our word is so faint and feeble
Broken by the slightest breeze or breath
Our hearts are they're so deceitful
Sick and filled with lies
That lead to death
We are cowards and thieves
Will we never turn to grieve
The damage done
Never see
Never quake with rage
At what we have become?
What we have become
Yeah we get down on one knee
O, we play at chivalry
But we do not count the cost
We say
""On Me you can depend""
And
""I will be there 'till the end""
Though we will not bear the cross
Our word is so faint and feeble
Broken by the slightest breeze or breath
Our hearts are they're so deceitful
Sick and filled with lies
That lead to death
We are cowards and thieves
Will we never turn to grieve
The damage done
Never see
Never quake with rage
At what we have become?
What we have become
Cowards and thieves
Will we never turn to grieve
The damage done
Never see
Never quake with rage
At what we have become?
What we have become
Cowards and thieves
Will we never turn to grieve
The damage done
Never see
Never quake with rage
At what we have become?
What we have become
"
"98","""Blinded""","

I was always one of the righteous
Never lived outside of the lines
Kept a close watch on the white wash
Disguising the dead bones inside
I was always one the good ones
Keeping tabs on everyone else
Sure that I was 
One of the chosen
But I was a child of hell
But you buried me in the bright light
Yeah, you held my eyes to the sun till I could see that,
That I was worse than I ever feared I could be
But somehow, I was loved more than I ever dared to believe 
Because of you
I was always one of the blameless
Or at least that's what I believed
I never thought I could have been blinded
Until I could no longer see 
But you buried me in the bright light
Yeah, you held my eyes to the sun till I could see,
That I was worse than I ever feared I could be
But somehow, I was loved more than I ever dared to believe 
Because of you
"
"99","""Cataracts""","

Cut these thorns and kick these stones, and keep those birds at bay.
Plant deep and dark, and help my heart receive the words you say.
The words you say are somehow lost on me, they die on deafened ears; when you open -
Up your mount to speak I hear but I can't hear the words you say.
Pin me down, and take away this heart of stone, wind and sound, awake my old dry bones.
Help my heart perceive the light of day.
I stumble through a darkened vale, with a veil -
Cast over me and cataracts, all is black.
O, I see but I can't see the light of day.
I'll fight or run to keep from going under the knife; don't let me slip away.
'Cause though the blade is sharp, I know you're saving my life; don't let me slip away.
"
"100","""Call It In The Air""","

A coin tossed into the air will come down, 
It will come down somewhere
Your life is a coin in the air
It will come down, it will come down somewhere
Every coin does ring
Every coin will fall
Stop your wavering
Now's the time so call it out
A coin in the air, it will come down
It will come down somewhere
Every coin does ring
Every coin will fall
Stop your wavering
Now's the time so call it in the air
You have to choose
And what you stand to lose you've been putting up all of your life
Call it in my hand
Only one way to see what the outcome will be
Call it out before we lose the light
No more stalling, no delay
You must call it out by light of day
Every coin does ring
Every coin will fall
Stop your wavering
Now's the time so call it in the air
You have to choose
And what you stand to lose you've been putting up all of your life
Call it in my hand
Only one way to see what the outcome will be
Call it out before we lose the light
So heads or tails? 
There's nothing for it so put an end to your sidestepping
Is it heads or tails? 
You can't ignore it
You stand to win or lose everything
Heads or tails? 
There's nothing for it so put an end to your sidestepping
Heads or tails? 
You can't ignore it
You stand to win or lose everything
"
"101","""Treading Paper""","

All my life, I've been treading paper in the space between the words.
And there implied is that I'm but another body for the birds, 
carrion, absurd and accidental atoms - beating air, 
carrying on; unwitting orphan of an unyielding despair.
But linger on, just for a moment, until we can ascertain if something's wrong with me -
Or the assumptions of these self-indicted brains.
Because I contend that all of this is more than just a meaningless charade,
That each and every moment is a bottle with a message hid away.
If anything means anything,
There must be something meant for us to be,
a song that we were made to sing.
There must be so much more than we can see.
But all our lives, we've been treading paper in the space between the words.
And there implied's the thought that we are barely more than bodies for the birds, carrion.
They say that we're just accidental atoms beating air, carrying on and on,
Unwitting orphans of an unyielding despair.
But our hearts tell a different story; 
our hands feel a different pulse.
Something fathomless, deeper than our pride can dive;
numinous, higher than - our hearts can rise,
transcendent, further than our thoughts can reach; 
immanent, closer than the air we breathe.
"
"102","""Blur""","

The shutter opens but never closes,
I am lost, waylaid, in light trails.
Endless moments, overlaid and burned across
A melee of scattered braille.
This image is a night-terror transforming
Without the hope of morning.
My nemesis, I feel it coming for me, and it means to destroy me.
Why does this keep happening?
I try to close my eyes but I can't blink
And the world keeps moving on, black and white blur into one.
Hieroglyphic, indecipherable, opaque; the meaning escapes me.
Dry and lidless, are my eyes.
Asleep, awake - reading the slurred debris.
This image is a night-terror transforming
Without the hope of morning.
My nemesis, I feel it coming for me, and it means to destroy me.
Why does this keep happening?
I try to close my eyes but I can't blink
And the world keeps moving on, black and white blur into...
Why does this keep happening?
I try to close my eyes but I can't blink
And the world keeps moving on, black and white blur into one.
"
"103","""Words In The Water""","

Standing knee-deep in cold water, swiftly moving
Somehow I knew I lost something
Waiting waist-deep I saw a book there, in the river
Waiting for me to find it there
I tried to read it, neck deep, treading water
The tide pulled me out to sea
Then with water in my eyes
The words began to rise from their place
They were beautiful and dread
I reached for them and fed on each phrase
They were honey on my lips
Then a bitter twist in my side
I knew they'd lay me in my grave
""Is there no one who could save me? "" I cried
Sinking down deep through cold water and heavy silence
Shadows stirring in the gloom
What things lay sleeping down deep in the darkness?
Woke then to find me in my tomb
Then with water in my eyes
The words began to rise from their place
They were beautiful and dread
I reached for them and fed on each phrase
They were honey on my lips
Then a bitter twist in my side
I knew they'd lay me in my grave
""Is there no one who could save me? "" I cried
And when I lost all hope to look
Someone took that heavy book from my hands
All it's weight they set aside
After they had satisfied it's demands
I felt white and black reverse
And the lifting of a curse from my heart
Then like one receiving sight
I beheld a brilliant light in the dark
"
"104","""Listen Through Me""","

See these ragged shoes?
The soles are worn straight through
Well I proclaimed
The king has sang the blues
If you've got better news
Then make it play
He laid aside his crown
All our crimes he carried
Was lifted from the ground
With our burdens buried
Listen to me
Though I speak of sober things
Listen through me
Though we're men of lips unclean
I speak truly
What you only think you've heard everything
Everything
Everything hangs on a word
Sparing no expense
He made recompense 
For all the earth
The story's an offense
So get down from that fence
And bless or curse
He laid aside his crown
All our crimes he carried
Was lifted from the ground
With our burdens buried
The shadows all had flown
In the light diminished
He emptied out his lungs
Crying it is finished
Listen to me
Though I speak of sober things
Listen through me
Though we're men of lips unclean
I speak truly
What you only think you've heard everything
Everything
Everything hangs on a word
A word...
The shadows all had flown
In the light diminished
He emptied out his lungs
Crying it is finished
Listen to me
Though I speak of sober things
Listen through me
Though we're men of lips unclean
I speak truly
What you only think you've heard everything
Everything
Everything hangs on a word
"
"105","""Anthology""","

Our lives built on tin cans and string
But the cornerstone laid is a wondrous and beautiful thing
Sure in the ground
While the North wind is taking its toll
You have helped me to find my way back and to anchor my soul
Safe in the sound
Oh you know me
Oh and I know you
And I know that
We can see this through
I'm brack, baring my bones
Said if we heard the howling
I'd run out to face it alone
To meet it half way
But I've still got badges to earn
So keep sifting my soul
Cause I think that I'm starting to learn
To love you that way
Oh you know me
Oh and I know you
And I know that
We can see this through
It's true that you could snap my neck
I trust you'll save my life instead
Cause our love is a loyalty sworn
If we hold to our hope
Then I know we can weather the storm
Whatever they say
Come what may
Oh you know me
Oh and I know you
And I know that
We can see this through
"
"106","""Disarmed""","

We were sons of insurrection, doomed to face the dark alone. 
'Till vicarious perfection, dearly won, was made our own.
So where's your landslide, where's your victory? 
Tell me now, where's your sting?
Unassailable you waited, the great enemy of man, 
'till your awful jaws were sated, and we were ransomed from your hand.
Now that you have been disarmed, 
We will cross over unharmed.
"
"107","""Hurricane""","

Those flowers I found you 
Were the truest red that I'd ever seen
Till you cut yourself on their thorns
You winced and I kissed you, 
And I kissed your palms and we both laughed
So unaware of the gathering storm
It's gonna rain, it's gonna rain, till the levee breaks
A tidal wave of fear and pain carries us away
Another fight into the night until nothing else remains
How do we find harbor from the hurricane?
Now sheltered in shadows,
The quiet song of your breath stirs the dark
Your skin like a rose 'neath my hand
And I can't keep from wondering 
Why nothing good could ever stay
Why faith feels like a fistful of sand
It's gonna rain, it's gonna rain, till the levee breaks
A tidal wave of fear and pain carries us away
Another fight into the night until nothing else remains
How do we find harbor from the hurricane?[x2]
"
"108","""Blood On The Sand""","

We wave our flags, we swallow fear like medicine
We kiss the hands of profiteers and their congressmen
But I've seen too much (of this fear and hate)
Yeah I've had enough (and I'm not afraid)
To raise a shout, to make it clear — this has to end
There's blood on the sand, there's blood in the street
And there's a gun in my hand, or there might as well be
And I'm sick of it, I'm so sick of it
We panic at the sight of different colored skin
We've got a plan to justify each mess we're in
But I've seen too much (of this fear and hate)
I've had enough (and I'm not afraid)
To take a stand, to make it right — this has to end
There's blood on the sand, there's blood in the street
And there's a gun in my hand, or there might as well be
And I'm sick of it, I'm so sick of it
Fear will kill your mind and steal your love as sure as anything
Fear will rob you blind and make you numb to others' suffering
And I've felt its touch too many times and I've had enough
I've had enough!
There's blood on the sand, there's blood in the street
And there's a gun in your hand, or there might as well be
Are you sick of it? I'm so sick of it
There's blood on the sand, there's blood in the street
And there's a gun in your hand, or there might as well be
Aren't you sick of it? I'm just sick of this
Cause I'm sick, I'm sick
I'm sick, I'm so sick of this
"
"109","""The Window""","

All that I've known's within the walls of this room where there's a window
Roughly boarded up
It's true the gaps are patched but even through the tiny cracks, I feel a wind blow
I see a light of strangest hue
There's nothing I can say
There's no way I can prove
That there's a place
Beyond this room
But still, there's something in the way
The light comes shining through
And in the way
The curtains move
Late in the night I lay awake
With my eyes fixed on the window
I strained my ears until I thought
That I might have heard a song
Somehow hiding in the soft glow
Old as time and ever new
There's nothing I can say
There's no way I can prove
That there's a place
Beyond this room
But still, there's something in the way
The light comes shining through
And in the way
The curtains move
I found a note scratched in the wall
In a pained and earnest scrawl
The hand I recognized was somehow mine
I read each line with dread
There's no wind and there's no light
There's no song you hear at night
There's nowhere to hide, be terrified
It's all inside your head
But still, there's something in the way
The light comes shining through
And in the way
In the way the curtains move
"
"110","""Wake Up""","

Just a little sleep, a little slumber
Little folding of the hands to rest
That's what we tell ourselves
But we know we're gonna just 
Lay here till the sun's gone west
But there are foxes in the garden
And there's an armed man at the door
When the wind is right, and the skies show favor
When the heat has died and the day is cool
We tell ourselves that we'll do it later
But we know full well that that ain't true
And now there's wolves at every window
The mob is breaking down the door
Come on, we gotta wake up
We gotta wake up
We gotta wake up
I hear them coming back for more
Gotta wake up
Oh, we say we'll do it when things settle down,
we say we'll do it when this season's through
We say we'll do it when we get around to it
But it's already overdue
And there are foxes in the garden
And there's an armed man at the door
Tomorrow's song is a siren singing,
Such a sweet and subtle lullaby
Tomorrow's song has got us clinging
To the promise of the by and by
And now there's wolves at every window
The mob is breaking down the door
Come on, we gotta wake up
We gotta wake up
We gotta wake up
I hear them coming back for more
Come on, we gotta wake up
We gotta wake up
We gotta wake up
Oh, I think they're gathering for war
We gotta wake up
We gotta wake up
We gotta wake up
We gotta wake up
I hear them coming back for more
Come on, we gotta wake up
We gotta wake up
We gotta wake up
Oh, I think they're gathering for war
"
"111","""The Long Defeat""","

The tyranny of deterioration
It worries me that it's all just a waste of time
Taking one step forward, two steps back
Still I believe there's a thread through the thorns
And I believe that somewhere it's warm
And I believe that it's ever bright beyond this black
So keep holding on to hope without assurance
Holding on to a memory of light
But will the morning come? For all I know
We’ll never see the sun, but together we’ll fight the long defeat
The suffering that I see all around
It's enough to keep me crashing down till I
I lie wrecked and reeling from these falls
Still I believe there's a word in the wire
And I believe there's a way through the fire
And I believe there's a joy that blooms beyond these walls
So keep holding on to hope without assurance
Holding on to a memory of light
But will the morning come? For all I know
We’ll never see the sun, but together we’ll fight the long defeat
"
"112","""Black Honey""","

I keep swinging my hand through a swarm of bees ‘cause I ...
I want honey on my table
I keep swinging my hand through a swarm of bees ‘cause I ...
I want honey on my table
But I never get it right 
no I never get it right
I keep swinging my hand through a swarm of bees
I can’t understand why they’re stinging me
But I’ll do what I want, I’ll do what I please
I’ll do it again till I got what I need
I’ll rip and smash through the hornet’s nest
Don’t they understand I deserve the best
And I’ll do what I want, I’ll do what I please
I’ll do it again till I got what I need
I tried to stick this pin through a butterfly ‘cause I ...
I like all the pretty colors
But it just fell apart so I flung it in the fire 
to burn with all the others
Cause I never get it right
No, I never get it right
I keep swinging my hand through a swarm of bees
I can’t understand why they’re stinging me
But I’ll do what I want, I’ll do what I please
I’ll do it again till I got what I need
I’ll rip and smash through the hornet’s nest
Don’t they understand I deserve the best
And I’ll do what I want, I’ll do what I please
I’ll do it again till I got what I need
And this time I’ll get it right 
yeah this time I’ll get it right
It’s gonna be this time I’ll get it right 
Oh God let it be this time I get it right
So I’m cutting that branch off the cherry tree
I’m singing this will be my victory then I...
I see them coming after me
And they’re following me across the sea
And now they’re stinging my friends and my family and I...
I don’t know why this is happening
But I’ll do what I want, I’ll do what I please
I’ll do it again till I got what I need
I keep swinging my hand through a swarm of bees ‘cause I ...
I want honey on my table
"
"113","""Stay With Me""","

You were a silhouette, a shivering shadow in the mingled ash and snow
I took your fevered hands - felt like embers of the world's dying glow
And you were feather light as I carried you quietly through the crumbling streets
And in the fading light I could see in your eyes that somehow we were meant to meet
Would you stay with me
If you thought the war was over
And everything made right?
Would you still believe in us
Or would your love for me grow colder
With no one left to fight?
Would you stay with me?
Would you stay with me?
After the fever left, together we'd scavenge through the city and her scars
And when the day would end, bar the door against the demons and the dark
We'd share a can of something and the bottle of bourbon I had hid away
It'd warm me from within, and you from without till I'd forget the chill and grey
Would you stay with me
If you thought the war was over
And everything made right?
Would you still believe in us
Or would your love for me grow colder
With no one left to fight?
Would you stay with me?
Would you stay with me?
Oh, it seems like every night
I lie in bed and worry that the world will start to heal
And now I'm terrified
That if it did you'd start to ask if what we have is real
Would you stay with me
If you thought the war was over
And everything made right?
Would you still believe in us
Or would your love for me grow colder
With no one left to fight?
Would you stay with me?
Would you stay with me?
"
"114","""Death From Above""","

I always thought, always thought, that there was something different, setting us apart
That I was led, I was led by men with sober minds and sympathetic hearts
I swore an oath, swore an oath, but never knew just what it was to take a life
To play at God, play at God across such distances and from so great a height
But I am never sure who I am killing
How many innocents were in the building?
I drop death out of the...
No longer human beings, no longer people
Just targets on a screen, none of it's real
I drop death out of the sky...
Tell me why
One day they sent, one day they sent me to the chaplain when I said I can't go on
But all he said, all he said was just to shut my mouth and do the will of God
But I am never sure who I am killing
How many innocents were in the building?
I drop death out of the...
No longer human beings, no longer people
Just targets on a screen, none of it's real
I drop death out of the sky...
Tell me why
Tell me why...
To make us safe, so it would seem
But we shoot further than we dream
Can’t we see? We only justify
Someone’s resolve to rise against
And to avenge the innocent
And defend the ones that still survive
I'm still asking why
"
"115","""Whistleblower""","

You told me not to worry
It's all for the greater good
Who made you judge and jury
Who gave you the axe and hood
You wanted it sealed
I'll tell the real story
I'm the bird that sings
I'm the whistleblower
Wake up and take warning
Congressmen and kings
I'm the whistleblower
Waiting in the wings
You told me keep it quiet
That I'd ruin everything
But I'd rather start a riot
Than help you pull these strings
You told me to kneel
But I'll tell the real story
I'm the bird that sings
I'm the whistleblower
Wake up and take warning
Congressmen and kings
I'm the whistleblower
Waiting in the wings
Watching, waiting in the wings
Yeah I'll tell the real story
I'm the bird that sings
I'm the whistleblower
Wake up and take warning
Congressmen and kings
I'm the whistleblower
Waiting in the wings
Watching, waiting in the wings
Watching, waiting in the wings
"
"116","""Salt And Shadow""","

The sky took its cue, every color and hue on display
Till thick veils of indigo signaled the end of the day
But each landscape that lies in the mirror of your eyes turns to grey
On the edge of a knife, it's like you're living your life on a stage
You're talking through glass, we're just square photographs on a page
Oh we're never alone but we're each in our own little cage
You're here but it's clear
You're just salt and shadow
Here but half a world away
You're here but you're merely a hologram
So near but still so far away
You manage to hide even here by my side where we lay
Here on this bed where I sense every thread start to fray
And I feel our skin touch but there's only so much it can say
You're here but it's clear
You're just salt and shadow
Here but half a world away
You're here but you're merely a hologram
So near but still so far away
You're here but it's clear
You're just salt and shadow
Here but half a world away[x2]
"
"117","""Carol Of The Bells""","

Hark how the bells,
sweet silver bells,
all seem to say,
throw cares away
Christmas is here,
bringing good cheer,
to young and old,
meek and the bold,
Ding dong ding dong
that is their song
with joyful ring
all caroling
One seems to hear
words of good cheer
from everywhere
filling the air
Oh how they pound,
raising the sound,
o'er hill and dale
Gaily they ring
while people sing
songs of good cheer,
Christmas is here,
Merry, merry, merry, merry Christmas,
Merry, merry, merry, merry Christmas,
On on they send,
on without end,
their joyful tone
to every home[x3]
"
"118","""I've Just Seen A Face""","

I've just seen a face
I can't forget the time or place
That we'd just met, she's just the girl for me
And I want all the world to see we've met
Na na na na na na
Had it been another day
I might have looked the other way
But I had never been aware
And as it is I dream of her tonight
Na na na na na na
Falling, yes I am falling
Calling she calling me back again
I have never known
The likes of this, I've been alone
And I have missed things and stayed out of sight
But other girls were never quite like this
Na na na na na na
Falling, yes I am falling
Calling she calling me back again
"
"119","""Lockstep""","

When i think of you my friend
cant keep a smile from my face
i know it sounds cliche
i love you more than you'll ever know
sometimes i sit and think of all the times you made me laugh and all the good times that we've had
i cherished everyone
through the thick and thin
we've walked in lockstep.
i wont let distance come between all the years that wear away
and the friendship that we built
and though it may sound trivial to some but not to me
every night i thank the Lord for you
how we bumped in
"
"120","""Lullaby""","

What are we all living for?
If nothing’s worth dying for tonight
Your dreams are not enough
What I need is love
That’s worth laying down my life
Sing along,
Just like they taught us
It’s soothing your mind this lullaby 
No heaven above us
Just mile after mile of empty sky
No right or wrong 
Can you imagine?
A world where there’s no more need to cry
But no joy or passion
Its seems that the price is much to high
But I am holding out for something real…
And though you offered peace
What I really need comes to so much more
Your dreams are not enough 
What I need is love that’s worth dying for
You say that you're a dreamer
Well I’m a dreamer too
But I wont sing your lullaby
However well intentioned
Its neither good nor true
The pallid dream is just a lie
But I am holding out for something real…
And though you offered peace
What I really need comes to so much more
Your dreams are not enough 
What I need is love that’s worth dying for
What are we all living for
If nothing's worth dying for tonight?
"
